id,TimeOfTheDay,DayOfTheWeek,Temperature,Weather,Company
1252,Evening,Workday,between 20° and 25° C,Cloudy,With Family
818,Evening,Workday,between 20° and 25° C,Cloudy,With Family
4523,Evening,Workday,between 20° and 25° C,Cloudy,With Family
3127,Evening,Workday,between 20° and 25° C,Cloudy,With Family
318,Evening,Workday,between 0° and 5° C,Snowing,With (a) friend(s)
74,Evening,Workday,between 25° and 30° C,Very cloudy,Alone
1995,Evening,Workday,between 25° and 30° C,Very cloudy,Alone
2830,Evening,Workday,between 5° and 10° C,Sunny,With (a) friend(s)
700,Evening,Workday,between 25° and 30° C,Sunny,With Family
1091,Evening,Workday,between 25° and 30° C,Sunny,With Family
3455,Evening,Workday,between 25° and 30° C,Sunny,With Family
3539,Evening,Workday,between 25° and 30° C,Sunny,With Family
2625,Evening,Workday,> 30° C,Sunny,Alone
2949,Evening,Workday,between 10° and 15° C,Very cloudy,With Family
4389,Evening,Workday,between 10° and 15° C,Very cloudy,With Family
402,Evening,Workday,between 15° and 20° C,Cloudy,With Family
4503,Evening,Workday,between 15° and 20° C,Cloudy,With Family
1326,Evening,Workday,between 10° and 15° C,Cloudy,With (a) friend(s)
2758,Evening,Workday,between 10° and 15° C,Cloudy,With (a) friend(s)
900,Evening,Workday,between 10° and 15° C,Cloudy,With (a) friend(s)
2281,Evening,Workday,between 25° and 30° C,Raining,Alone
1223,Evening,Workday,between 15° and 20° C,Partly cloudy,Alone
561,Evening,Workday,between 15° and 20° C,Partly cloudy,Alone
2337,Evening,Workday,between 15° and 20° C,Partly cloudy,Alone
895,Evening,Workday,between 15° and 20° C,Partly cloudy,Alone
1594,Midday,Workday,between 20° and 25° C,Cloudy,With (a) friend(s)
2260,Midday,Workday,< 0° C,Very cloudy,With Family
2911,Midday,Workday,< 0° C,Very cloudy,With Family
1539,Midday,Workday,> 30° C,Very cloudy,With Family
921,Midday,Workday,between 0° and 5° C,Raining,With (a) friend(s)
3011,Midday,Workday,between 0° and 5° C,Raining,With (a) friend(s)
3609,Midday,Workday,between 20° and 25° C,Cloudy,With (a) friend(s)
630,Midday,Workday,between 15° and 20° C,Raining,Alone
2299,Midday,Workday,between 15° and 20° C,Raining,Alone
1467,Midday,Workday,between 5° and 10° C,Partly cloudy,With Family
1358,Midday,Workday,between 5° and 10° C,Partly cloudy,With Family
2273,Midday,Workday,between 5° and 10° C,Raining,With (a) friend(s)
3687,Midday,Workday,between 5° and 10° C,Raining,With (a) friend(s)
2719,Midday,Workday,> 30° C,Partly cloudy,With (a) friend(s)
1284,Midday,Workday,between 10° and 15° C,Partly cloudy,With (a) friend(s)
2908,Midday,Workday,between 10° and 15° C,Partly cloudy,With (a) friend(s)
3241,Midday,Workday,between 10° and 15° C,Partly cloudy,With (a) friend(s)
1245,Midday,Workday,between 20° and 25° C,Sunny,Alone
1883,Midday,Workday,between 15° and 20° C,Partly cloudy,With (a) friend(s)
1341,Midday,Workday,between 15° and 20° C,Partly cloudy,With (a) friend(s)
2957,Midday,Workday,between 15° and 20° C,Very cloudy,With Family
2419,Midday,Workday,between 10° and 15° C,Cloudy,Alone
461,Midday,Workday,between 15° and 20° C,Very cloudy,With Family
1725,Midday,Workday,between 15° and 20° C,Cloudy,With (a) friend(s)
3263,Midday,Workday,between 20° and 25° C,Sunny,With (a) friend(s)
1011,Midday,Workday,between 15° and 20° C,Partly cloudy,With Family
1350,Midday,Workday,between 10° and 15° C,Sunny,With (a) friend(s)
4250,Midday,Workday,between 10° and 15° C,Partly cloudy,With Family
2964,Midday,Workday,between 10° and 15° C,Very cloudy,With Family
428,Midday,Workday,between 10° and 15° C,Very cloudy,With Family
3444,Midday,Workday,between 25° and 30° C,Sunny,With (a) friend(s)
3256,Midday,Workday,between 15° and 20° C,Very cloudy,With Family
3687,Midday,Workday,between 10° and 15° C,Raining,With (a) friend(s)
3762,Midday,Workday,< 0° C,Snowing,Alone
4321,Midday,Workday,between 10° and 15° C,Very cloudy,Alone
3939,Midday,Workday,between 10° and 15° C,Very cloudy,Alone
3120,Midday,Workday,between 15° and 20° C,Cloudy,With (a) friend(s)
1260,Midday,Workday,between 15° and 20° C,Very cloudy,With Family
1927,Midday,Workday,between 10° and 15° C,Very cloudy,Alone
553,Midday,Workday,between 10° and 15° C,Raining,With Family
3956,Afternoon,Workday,between 15° and 20° C,Sunny,With (a) friend(s)
4784,Afternoon,Workday,> 30° C,Sunny,With (a) friend(s)
249,Afternoon,Workday,between 10° and 15° C,Cloudy,With Family
2125,Afternoon,Workday,between 10° and 15° C,Cloudy,With Family
562,Afternoon,Workday,between 10° and 15° C,Cloudy,With (a) friend(s)
2642,Afternoon,Workday,between 20° and 25° C,Partly cloudy,With Family
4730,Afternoon,Workday,between 20° and 25° C,Sunny,With (a) friend(s)
3211,Afternoon,Workday,between 20° and 25° C,Sunny,With (a) friend(s)
3647,Afternoon,Workday,between 0° and 5° C,Very cloudy,With Family
916,Afternoon,Workday,between 15° and 20° C,Sunny,With Family
919,Afternoon,Workday,between 25° and 30° C,Sunny,With (a) friend(s)
674,Afternoon,Workday,between 10° and 15° C,Partly cloudy,With (a) friend(s)
3717,Afternoon,Workday,between 10° and 15° C,Cloudy,With (a) friend(s)
2620,Afternoon,Workday,between 20° and 25° C,Raining,With Family
2116,Afternoon,Workday,between 20° and 25° C,Raining,With Family
559,Afternoon,Workday,between 10° and 15° C,Very cloudy,Alone
3297,Afternoon,Workday,> 30° C,Sunny,With (a) friend(s)
2278,Afternoon,Workday,between 10° and 15° C,Cloudy,With (a) friend(s)
2273,Afternoon,Workday,between 15° and 20° C,Cloudy,With (a) friend(s)
1000,Afternoon,Workday,between 20° and 25° C,Sunny,With Family
1562,Afternoon,Workday,between 20° and 25° C,Sunny,With Family
4559,Afternoon,Workday,between 15° and 20° C,Partly cloudy,With Family
4872,Afternoon,Workday,between 15° and 20° C,Partly cloudy,With Family
4792,Afternoon,Workday,between 15° and 20° C,Partly cloudy,With Family
2117,Afternoon,Workday,between 15° and 20° C,Raining,Alone
2873,Afternoon,Workday,between 15° and 20° C,Raining,Alone
4240,Afternoon,Workday,between 15° and 20° C,Raining,Alone
1863,Afternoon,Workday,between 5° and 10° C,Very cloudy,Alone
571,Afternoon,Workday,between 5° and 10° C,Very cloudy,Alone
380,Afternoon,Workday,between 0° and 5° C,Cloudy,With Family
3728,Afternoon,Workday,between 0° and 5° C,Cloudy,With Family
3804,Afternoon,Workday,< 0° C,Partly cloudy,With Family
489,Afternoon,Workday,< 0° C,Partly cloudy,With Family
1961,Afternoon,Workday,< 0° C,Partly cloudy,With Family
684,Afternoon,Workday,< 0° C,Partly cloudy,With Family
2941,Afternoon,Workday,between 15° and 20° C,Sunny,With Family
4637,Afternoon,Workday,between 25° and 30° C,Cloudy,With Family
1138,Afternoon,Workday,between 25° and 30° C,Cloudy,With Family
581,Afternoon,Workday,< 0° C,Snowing,Alone
2144,Afternoon,Workday,between 5° and 10° C,Very cloudy,With (a) friend(s)
2124,Afternoon,Workday,between 5° and 10° C,Very cloudy,With (a) friend(s)
2093,Afternoon,Workday,between 5° and 10° C,Very cloudy,With (a) friend(s)
2204,Afternoon,Workday,between 10° and 15° C,Cloudy,With (a) friend(s)
380,Afternoon,Workday,between 10° and 15° C,Cloudy,With (a) friend(s)
685,Afternoon,Workday,between 5° and 10° C,Raining,With Family
2263,Afternoon,Workday,between 5° and 10° C,Raining,With Family
2901,Afternoon,Workday,between 10° and 15° C,Snowing,With (a) friend(s)
2347,Afternoon,Workday,between 5° and 10° C,Sunny,Alone
2101,Afternoon,Workday,between 5° and 10° C,Sunny,Alone
2298,Afternoon,Workday,between 5° and 10° C,Sunny,Alone
2360,Afternoon,Workday,between 0° and 5° C,Sunny,Alone
200,Afternoon,Workday,between 10° and 15° C,Very cloudy,With Family
4056,Afternoon,Workday,between 15° and 20° C,Cloudy,With (a) friend(s)
3,Afternoon,Workday,between 5° and 10° C,Partly cloudy,Alone
4438,Afternoon,Workday,between 15° and 20° C,Raining,Alone
4517,Afternoon,Workday,between 15° and 20° C,Very cloudy,With (a) friend(s)
4125,Afternoon,Workday,between 15° and 20° C,Very cloudy,With (a) friend(s)
1027,Afternoon,Workday,between 15° and 20° C,Sunny,With (a) friend(s)
1562,Afternoon,Workday,between 15° and 20° C,Sunny,With (a) friend(s)
4215,Afternoon,Workday,< 0° C,Cloudy,With Family
2330,Afternoon,Workday,< 0° C,Cloudy,With Family
351,Afternoon,Workday,between 5° and 10° C,Raining,With (a) friend(s)
4532,Afternoon,Workday,between 5° and 10° C,Raining,With (a) friend(s)
1662,Afternoon,Workday,< 0° C,Snowing,Alone
588,Afternoon,Workday,< 0° C,Snowing,Alone
2259,Afternoon,Workday,< 0° C,Snowing,Alone
909,Afternoon,Workday,between 10° and 15° C,Very cloudy,Alone
219,Afternoon,Workday,between 10° and 15° C,Very cloudy,Alone
921,Afternoon,Workday,between 10° and 15° C,Very cloudy,Alone
2092,Afternoon,Workday,between 10° and 15° C,Cloudy,Alone
294,Afternoon,Workday,< 0° C,Snowing,Alone
3799,Afternoon,Workday,< 0° C,Snowing,Alone
2062,Afternoon,Workday,< 0° C,Snowing,Alone
386,Afternoon,Workday,< 0° C,Snowing,Alone
4088,Afternoon,Workday,between 10° and 15° C,Cloudy,With Family
3951,Afternoon,Workday,between 10° and 15° C,Cloudy,With Family
426,Afternoon,Workday,between 5° and 10° C,Cloudy,Alone
2105,Afternoon,Workday,between 5° and 10° C,Cloudy,Alone
616,Afternoon,Workday,between 5° and 10° C,Cloudy,Alone
4781,Afternoon,Workday,between 25° and 30° C,Partly cloudy,With (a) friend(s)
4837,Afternoon,Workday,between 25° and 30° C,Sunny,With (a) friend(s)
917,Afternoon,Workday,between 25° and 30° C,Sunny,With (a) friend(s)
789,Afternoon,Workday,between 20° and 25° C,Cloudy,With Family
280,Afternoon,Workday,< 0° C,Partly cloudy,With Family
3803,Afternoon,Workday,< 0° C,Partly cloudy,With Family
3676,Afternoon,Workday,< 0° C,Partly cloudy,With Family
1260,Afternoon,Workday,between 15° and 20° C,Partly cloudy,With Family
3588,Afternoon,Workday,between 25° and 30° C,Very cloudy,With (a) friend(s)
779,Afternoon,Workday,between 25° and 30° C,Very cloudy,With (a) friend(s)
2635,Afternoon,Workday,between 25° and 30° C,Sunny,Alone
2709,Afternoon,Workday,between 15° and 20° C,Raining,With Family
4699,Afternoon,Workday,between 20° and 25° C,Raining,Alone
3056,Afternoon,Workday,between 20° and 25° C,Raining,Alone
844,Afternoon,Workday,between 15° and 20° C,Cloudy,Alone
2128,Afternoon,Workday,between 10° and 15° C,Cloudy,Alone
1543,Afternoon,Workday,between 25° and 30° C,Cloudy,With (a) friend(s)
563,Afternoon,Workday,> 30° C,Raining,With Family
516,Afternoon,Workday,between 5° and 10° C,Raining,With Family
4260,Afternoon,Workday,between 5° and 10° C,Raining,With Family
369,Afternoon,Workday,between 5° and 10° C,Raining,With Family
3210,Afternoon,Workday,between 5° and 10° C,Raining,With Family
3041,Afternoon,Workday,between 5° and 10° C,Very cloudy,With (a) friend(s)
2094,Afternoon,Workday,between 5° and 10° C,Very cloudy,With (a) friend(s)
4277,Afternoon,Workday,between 5° and 10° C,Very cloudy,With (a) friend(s)
3800,Afternoon,Workday,between 0° and 5° C,Very cloudy,Alone
3656,Afternoon,Workday,between 0° and 5° C,Very cloudy,Alone
2265,Afternoon,Workday,between 5° and 10° C,Partly cloudy,With Family
1950,Afternoon,Workday,between 5° and 10° C,Partly cloudy,With Family
2585,Afternoon,Workday,between 5° and 10° C,Partly cloudy,With Family
3284,Afternoon,Workday,> 30° C,Sunny,With (a) friend(s)
284,Afternoon,Workday,between 10° and 15° C,Cloudy,With (a) friend(s)
2503,Afternoon,Workday,between 10° and 15° C,Cloudy,With (a) friend(s)
2586,Afternoon,Workday,between 20° and 25° C,Sunny,With Family
1149,Afternoon,Workday,> 30° C,Sunny,With Family
4645,Afternoon,Workday,> 30° C,Sunny,With Family
980,Afternoon,Workday,between 20° and 25° C,Partly cloudy,With (a) friend(s)
740,Afternoon,Workday,between 20° and 25° C,Partly cloudy,With (a) friend(s)
1101,Afternoon,Workday,between 20° and 25° C,Partly cloudy,With (a) friend(s)
1930,Afternoon,Workday,between 5° and 10° C,Raining,With Family
1442,Afternoon,Workday,between 5° and 10° C,Raining,With Family
2317,Afternoon,Workday,between 10° and 15° C,Raining,With Family
928,Afternoon,Workday,between 25° and 30° C,Sunny,With Family
2247,Afternoon,Workday,between 5° and 10° C,Very cloudy,With Family
4435,Afternoon,Workday,between 5° and 10° C,Very cloudy,With Family
2410,Afternoon,Workday,between 5° and 10° C,Very cloudy,With Family
2402,Afternoon,Workday,between 5° and 10° C,Very cloudy,With Family
297,Afternoon,Workday,between 0° and 5° C,Very cloudy,Alone
1948,Afternoon,Workday,between 0° and 5° C,Very cloudy,Alone
2456,Afternoon,Workday,between 0° and 5° C,Very cloudy,Alone
325,Afternoon,Workday,between 0° and 5° C,Very cloudy,Alone
980,Afternoon,Workday,between 10° and 15° C,Sunny,With (a) friend(s)
414,Afternoon,Workday,between 10° and 15° C,Sunny,With (a) friend(s)
814,Afternoon,Workday,between 10° and 15° C,Sunny,With (a) friend(s)
1133,Afternoon,Workday,> 30° C,Sunny,With Family
3654,Afternoon,Workday,< 0° C,Snowing,Alone
2080,Afternoon,Workday,< 0° C,Snowing,Alone
84,Afternoon,Workday,between 10° and 15° C,Partly cloudy,Alone
4430,Afternoon,Workday,between 10° and 15° C,Partly cloudy,Alone
2362,Afternoon,Workday,between 5° and 10° C,Cloudy,With Family
4781,Afternoon,Workday,between 20° and 25° C,Raining,With (a) friend(s)
4419,Afternoon,Workday,between 20° and 25° C,Raining,With (a) friend(s)
4132,Afternoon,Workday,between 10° and 15° C,Cloudy,Alone
773,Afternoon,Workday,between 25° and 30° C,Sunny,With (a) friend(s)
4831,Afternoon,Workday,between 25° and 30° C,Sunny,With (a) friend(s)
3712,Afternoon,Workday,between 5° and 10° C,Raining,With (a) friend(s)
4227,Afternoon,Workday,between 5° and 10° C,Raining,With (a) friend(s)
1033,Afternoon,Workday,between 15° and 20° C,Cloudy,Alone
4884,Afternoon,Workday,between 25° and 30° C,Cloudy,With Family
4694,Afternoon,Workday,between 25° and 30° C,Cloudy,With Family
560,Afternoon,Workday,between 25° and 30° C,Cloudy,With Family
2581,Afternoon,Workday,between 25° and 30° C,Sunny,With Family
1109,Afternoon,Workday,between 25° and 30° C,Sunny,With Family
2330,Afternoon,Workday,between 10° and 15° C,Partly cloudy,Alone
186,Afternoon,Workday,between 10° and 15° C,Partly cloudy,Alone
3191,Afternoon,Workday,between 10° and 15° C,Partly cloudy,Alone
1006,Afternoon,Workday,between 25° and 30° C,Sunny,With Family
2710,Afternoon,Workday,between 20° and 25° C,Cloudy,With (a) friend(s)
4238,Afternoon,Workday,between 15° and 20° C,Very cloudy,With (a) friend(s)
670,Afternoon,Workday,between 15° and 20° C,Very cloudy,With (a) friend(s)
4198,Afternoon,Workday,between 10° and 15° C,Cloudy,Alone
4397,Afternoon,Workday,between 10° and 15° C,Cloudy,Alone
1195,Afternoon,Workday,between 10° and 15° C,Cloudy,Alone
3426,Afternoon,Workday,between 25° and 30° C,Sunny,With Family
2315,Afternoon,Workday,between 5° and 10° C,Partly cloudy,With (a) friend(s)
2064,Afternoon,Workday,between 5° and 10° C,Partly cloudy,With (a) friend(s)
1149,Afternoon,Workday,between 15° and 20° C,Raining,With Family
1178,Afternoon,Workday,between 15° and 20° C,Raining,With Family
2343,Afternoon,Workday,between 10° and 15° C,Cloudy,Alone
1116,Afternoon,Workday,between 10° and 15° C,Cloudy,Alone
3191,Afternoon,Workday,between 10° and 15° C,Cloudy,Alone
4357,Afternoon,Workday,between 10° and 15° C,Raining,With Family
318,Afternoon,Workday,between 10° and 15° C,Raining,With Family
2252,Afternoon,Workday,between 10° and 15° C,Raining,With Family
1140,Evening,Workday,> 30° C,Very cloudy,With (a) friend(s)
1411,Evening,Workday,> 30° C,Very cloudy,With (a) friend(s)
3074,Evening,Workday,> 30° C,Very cloudy,With (a) friend(s)
3191,Evening,Workday,> 30° C,Very cloudy,With (a) friend(s)
1441,Evening,Workday,> 30° C,Very cloudy,With (a) friend(s)
2323,Evening,Workday,< 0° C,Snowing,With (a) friend(s)
2244,Evening,Workday,< 0° C,Snowing,With (a) friend(s)
94,Evening,Workday,< 0° C,Snowing,With (a) friend(s)
3956,Evening,Workday,< 0° C,Snowing,With (a) friend(s)
2928,Evening,Workday,< 0° C,Snowing,With (a) friend(s)
1417,Evening,Workday,< 0° C,Snowing,With (a) friend(s)
1836,Evening,Workday,between 10° and 15° C,Very cloudy,With (a) friend(s)
2831,Evening,Workday,between 10° and 15° C,Very cloudy,With (a) friend(s)
422,Evening,Workday,between 10° and 15° C,Very cloudy,With (a) friend(s)
3882,Evening,Workday,between 10° and 15° C,Very cloudy,With (a) friend(s)
2991,Evening,Workday,between 10° and 15° C,Very cloudy,With (a) friend(s)
3830,Evening,Workday,between 10° and 15° C,Very cloudy,With (a) friend(s)
4136,Evening,Workday,between 10° and 15° C,Very cloudy,With (a) friend(s)
4214,Evening,Workday,between 10° and 15° C,Very cloudy,With (a) friend(s)
3887,Evening,Workday,between 10° and 15° C,Very cloudy,With (a) friend(s)
511,Evening,Workday,between 15° and 20° C,Partly cloudy,With (a) friend(s)
200,Evening,Workday,between 15° and 20° C,Partly cloudy,With (a) friend(s)
2961,Evening,Workday,between 15° and 20° C,Partly cloudy,With (a) friend(s)
3588,Evening,Workday,between 15° and 20° C,Partly cloudy,With (a) friend(s)
4320,Evening,Workday,between 15° and 20° C,Partly cloudy,With (a) friend(s)
4359,Evening,Workday,between 15° and 20° C,Partly cloudy,With (a) friend(s)
1649,Evening,Workday,between 15° and 20° C,Partly cloudy,With (a) friend(s)
3697,Evening,Workday,< 0° C,Snowing,With Family
1362,Evening,Workday,< 0° C,Snowing,With Family
2040,Evening,Workday,< 0° C,Snowing,With Family
2040,Evening,Workday,< 0° C,Snowing,With Family
3997,Evening,Workday,< 0° C,Raining,Alone
2231,Evening,Workday,< 0° C,Raining,Alone
367,Evening,Workday,< 0° C,Raining,Alone
4316,Evening,Workday,< 0° C,Raining,Alone
578,Evening,Workday,between 25° and 30° C,Very cloudy,With Family
1953,Evening,Workday,between 25° and 30° C,Very cloudy,With Family
4645,Evening,Workday,between 25° and 30° C,Very cloudy,With Family
4620,Evening,Workday,between 25° and 30° C,Very cloudy,With Family
1799,Evening,Workday,< 0° C,Partly cloudy,With Family
3830,Evening,Workday,< 0° C,Partly cloudy,With Family
3022,Evening,Workday,< 0° C,Partly cloudy,With Family
3804,Evening,Workday,< 0° C,Partly cloudy,With Family
